penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
465247,265860,1860988,2955913,189,80,3721976,8964959,93,141,3721976,2849443,1
577539,330028,2310156,3671347,189,99,4620312,11128675,93,141,1540104,1179037,1
2757217,1575580,11028868,17534783,189,132,22057736,53128929,93,141,22057736,16886173,1
458317,261900,1833268,2915323,189,79,3666536,8831309,93,141,3666536,2806873,1
912553,521468,3650212,5806743,189,131,7300424,17583913,93,141,7300424,5588677,1
594653,339808,594653,950112,189,68,4757224,11457773,93,141,4757224,3641177,1
5171245,2955052,20684980,33059459,189,166,41369960,99639213,93,141,8273992,6332837,1
5146759,2941060,20587036,32916041,189,165,41174072,99166983,93,141,41174072,31513771,1
580639,331800,1161278,1859183,189,67,4645112,11187503,93,141,4645112,3555091,1
1790307,1023052,7161228,11467387,189,100,14322456,34494787,93,141,4774152,3653821,1
52583,30048,52583,84212,189,44,420664,1013143,93,141,420664,321947,1
830471,474564,3321884,5325977,189,120,6643768,16000903,93,141,6643768,5084459,1
1761201,1006420,541908,868993,189,99,14089608,33933457,93,141,4696536,3594223,1
2473703,1413572,9894812,15874201,189,119,19789624,47661159,93,141,19789624,15144587,1
617675,352964,2470700,3964153,189,158,4941400,11900811,93,141,31880,24397,1
614749,351292,2458996,3947015,189,157,4917992,11844381,93,141,4917992,3763561,1
2249945,1285708,8999780,14448171,189,76,17999560,43349657,93,141,3599912,2754865,1
50581,28904,101162,162561,189,43,404648,974533,93,141,404648,309649,1
303101,173204,1212404,1948477,189,48,2424808,5839773,93,141,2424808,1855529,1
553843,316488,1107686,1780709,189,60,4430744,10670723,93,141,4430744,3390487,1
2204823,1259924,8819292,14183885,189,75,17638584,42479447,93,141,5879528,4499049,1
2402555,1372916,9610220,15457477,189,116,19220440,46289019,93,141,3844088,2941507,1
448103,256064,448103,721090,189,56,3584824,8633367,93,141,3584824,2743067,1
2385461,1363148,733988,1181335,189,115,19083688,45959349,93,141,19083688,14602529,1
538597,307776,538597,868030,189,59,4308776,10376693,93,141,4308776,3296833,1
97697,55828,390788,629949,189,47,781576,1882241,93,141,781576,598013,1
1170901,669100,4683604,7550819,189,150,9367208,22558677,93,141,302168,231199,1
1554143,888100,6216572,10026417,189,167,12433144,29942111,93,141,12433144,9512867,1
1165511,666020,4662044,7519249,189,149,9324088,22454727,93,141,9324088,7134059,1
24251,13858,194008,312945,189,88,194008,467219,93,141,194008,148439,1
4645643,2654708,18582572,29980933,189,167,37165144,89502603,93,141,37165144,28435487,1
435013,248584,870026,1403845,189,55,3480104,8380917,93,141,3480104,2662657,1
772259,441300,3089036,4985021,189,112,6178072,14878243,93,141,6178072,4726871,1
47963,27408,47963,77447,189,87,383704,924043,93,141,383704,293567,1
2300299,1314484,9201196,14858549,189,111,18402392,44316939,93,141,18402392,14079391,1
1791283,1023612,551164,891427,189,100,14330264,34509779,93,141,14330264,10963207,1
1119311,639620,4477244,7248649,189,128,8954488,21563727,93,141,8954488,6850259,1
559001,319436,2236004,3620491,189,167,4472008,10769241,93,141,4472008,3421109,1
744693,425548,2978772,4823563,189,108,5957544,14346613,93,141,1985848,1519179,1
185769,106156,743076,1203523,189,167,1486152,3578857,93,141,495384,378967,1
1113151,636100,342508,554813,189,127,8905208,21444927,93,141,8905208,6812419,1
1762177,1006980,7048708,11418073,189,99,14097416,33948449,93,141,14097416,10784413,1
2218217,1267580,8872868,14377783,189,107,17745736,42733929,93,141,17745736,13575173,1
584277,333880,1168554,1898699,189,68,4674216,11255749,93,141,1558072,1191771,1
4297603,2455828,17190412,27942413,189,167,34380824,82790403,93,141,34380824,26297527,1
44729,25560,89458,145423,189,160,357832,861673,93,141,357832,273701,1
4284205,2448172,17136820,27863939,189,167,34273640,82532013,93,141,6854728,5243045,1
44575,25472,44575,72486,189,159,356600,858703,93,141,71320,54551,1
88303,50460,353212,574927,189,66,706424,1701071,93,141,706424,540307,1
570263,325872,570263,928829,189,67,4562104,10985479,93,141,4562104,3489227,1
260135,148652,1040540,1696819,189,65,2081080,5011143,93,141,416216,318319,1
86455,49404,345820,564103,189,167,691640,1665431,93,141,138328,105791,1
258749,147860,1034996,1688701,189,167,2069992,4984413,93,141,2069992,1583081,1
2048971,1170868,8195884,13386485,189,167,16391768,39469899,93,141,16391768,12535519,1
2043581,1167788,8174324,13354915,189,167,16348648,39365949,93,141,16348648,12502409,1
127411,72808,254822,416425,189,40,1019288,2454339,93,141,1019288,779479,1
2208441,1261996,8833764,14435971,189,76,17667528,42541561,93,141,5889176,4503623,1
167443,95684,669772,1096185,189,144,1339544,3225427,93,141,1339544,1024327,1
543467,310560,543467,889592,189,60,4347736,10468699,93,141,4347736,3324623,1
500635,286084,2002540,3278633,189,143,4005080,9643611,93,141,801016,612515,1
2163319,1236212,8653276,14171685,189,75,17306552,41671351,93,141,17306552,13233691,1
1788219,1021864,3576438,5857457,189,100,14305752,34445899,93,141,4768584,3646357,1
330357,188780,1321428,2165843,189,140,2642856,6363509,93,141,880952,673611,1
328047,187460,1312188,2152313,189,139,2624376,6318959,93,141,874792,668881,1
1759113,1005232,1759113,2886109,189,99,14072904,33884569,93,141,4690968,3586759,1
448199,256120,896398,1471323,189,56,3585592,8633303,93,141,3585592,2741531,1
122021,69728,122021,200320,189,39,976168,2350389,93,141,976168,746369,1
528221,301848,1056442,1734535,189,59,4225768,10174669,93,141,4225768,3230969,1
242579,138620,970316,1593991,189,167,1940632,4672563,93,141,1940632,1483751,1
242117,138356,968468,1591285,189,167,1936936,4663653,93,141,1936936,1480913,1
2868955,1639444,11475820,18881933,189,136,22951640,55260891,93,141,4590328,3509411,1
119095,68056,238190,392071,189,98,952760,2293959,93,141,190552,145679,1
2848781,1627916,876548,1443367,189,135,54392,130959,93,141,22790248,17423129,1
8,5,8,17,27,13,32,145,12,19,32,65,1
8564712,5352953,2854904,6114209,227,200,11419616,51770023,112,185,11419616,23220983,1
8504664,5315423,2834888,6071675,227,200,11339552,51407233,112,185,11339552,23058353,1
3753480,2345929,312790,670621,227,154,5004640,22689719,112,185,5004640,10178119,1
3718488,2324059,619748,1328849,227,153,4957984,22478309,112,185,4957984,10083349,1
199614,124759,56032,120319,227,130,15656,70987,112,185,15656,31847,1
796944,498091,1062592,2281777,227,58,1062592,4817981,112,185,1062592,2161501,1
790032,493771,1053376,2262193,227,129,1053376,4776221,112,185,1053376,2142781,1
774048,483781,1032064,2216905,227,57,1032064,4679651,112,185,1032064,2099491,1
